//////////// EXTRASUNNY_LA 
//Amb           Amb_Obj Dir         Sky top         Sky bot     SunCore     SunCorona   SunSz   SprSz   SprBght Shdw    LightShd    PoleShd FarClp  FogSt   LightOnGround   LowCloudsRGB    BottomCloudRGB  WaterRGBA           Alpha1  RGB1            Alpha2  RGB2        CloudAlpha 
//Midnight 
5 5 5 150 150 150 255 255 255 5 12 15      22 24 23    255 128 0   5 0 0    0.00 0.50 1.00 0 0 0                   1000 -200.00 1.00 0 0 0  3 3 3	5 5 5 240	255 77 77 77	255 0 0 0	0 0 0 
//5AM 
5 5 5 150 150 150 255 255 255 5 12 15      22 24 23    255 128 0	255 0 0	2.00 0.50 1.00 0 0 0                   1000 -200.00 1.00 0 0 0  50 43 36	5 5 5 240 	255 77 77 77	255 0 0 0	0 0 0
//6AM 
55 55 55  150 150 150 255 255 255 53 98 107 101 65 16   155 155 155	155 120 0   2.00 1.00 1.00 0 0 0                    1000 -200.00 1.00 0 0 0  120 92 88	185 160 160 240	190 255 184 109	190 255 184 109 	0 0 0
//7AM 
150 150 150 150 150 150 200 200 200 38 95 173  139 143 140  155 155 155	155 155 155   1.40 .75 0.00 255 255 255 	1000.00 -200.00 0.80 0 0 0	145 164 183	145 170 170 240	190 255 211 165	190 255 211 165	0 0 0
//Midday 
150 150 150 150 150 150 200 200 200 55 102 149  105 109 118  155 155 155	155 155 155   1.40 .75 0.00 255 255 255 	1000.00 -200.00 0.00 0 0 0	145 164 183	90 170 170 240	190 255 230 207	190 255 230 207  	0 0 0
//7PM 
150 150 150 150 150 150 200 200 200 80 123 163  132 132 96   155 155 155	155 120 0   2.00 1.00 0.00 255 255 255 	1000.00 -200.00 0.80 0 0 0	110 33 6	50 97 97 240	190 255 184 109	190 255 184 109 	0 0 0
//8PM 
55 55 55 163 163 163 255 255 255 109 142 189 165 155 130 255 128 0   155 0 0 0.00 0.50 1.00 0 0 0              1000 -200.00 1.00 50 40 0  0 0 0	67 67 67 240	25 255 139 22	25 255 139 22	0 0 0
